data,região,à vista,30 dias
18/05/2022,MG Triângulo,254.0,256.0
18/05/2022,MG B.Horizonte,258.0,260.0
18/05/2022,MG Norte,268.0,270.0
18/05/2022,MG Sul,264.0,266.0
18/05/2022,GO Goiânia,261.0,263.0
18/05/2022,GO Reg. Sul,261.0,263.0
18/05/2022,MS Dourados,269.0,271.0
18/05/2022,MS C. Grande,269.0,271.0
18/05/2022,MS Três Lagoas,264.0,266.0
18/05/2022,RS Oeste**,10.35,10.45
18/05/2022,RS Pelotas**,10.15,10.25
18/05/2022,BA Sul,274.0,276.0
18/05/2022,BA Oeste,266.0,268.0
18/05/2022,MT Norte,264.0,266.0
18/05/2022,MT Sudoeste,263.0,265.0
18/05/2022,MT Cuiabá*,273.0,275.0
18/05/2022,MT Sudeste,265.0,267.0
18/05/2022,PR Noroeste,272.0,274.0
18/05/2022,SC,280.5,282.5
18/05/2022,MA Oeste,264.0,266.0
18/05/2022,Alagoas,283.5,285.5
18/05/2022,PA Marabá,264.0,266.0
18/05/2022,PA Redenção,265.0,267.0
18/05/2022,PA Paragominas,279.0,280.5
18/05/2022,RO Sudeste,247.0,249.0
18/05/2022,TO Sul,259.0,261.0
18/05/2022,TO Norte,263.0,265.0
18/05/2022,Acre,254.0,256.0
18/05/2022,ES,268.0,270.0
18/05/2022,RJ,271.0,273.0
19/05/2022,SP Barretos,269.0,271.0
19/05/2022,SP Araçatuba,269.0,271.0
19/05/2022,MG Triângulo,253.0,255.0
19/05/2022,MG B.Horizonte,258.0,260.0
19/05/2022,MG Norte,266.0,268.0
19/05/2022,MG Sul,264.0,266.0
19/05/2022,GO Goiânia,261.0,263.0
19/05/2022,GO Reg. Sul,261.0,263.0
19/05/2022,MS Dourados,268.0,270.0
19/05/2022,MS C. Grande,269.0,271.0
19/05/2022,MS Três Lagoas,264.0,266.0
19/05/2022,RS Oeste**,10.25,10.35
19/05/2022,RS Pelotas**,10.15,10.25
19/05/2022,BA Sul,274.0,276.0
19/05/2022,BA Oeste,266.0,268.0
19/05/2022,MT Norte,263.0,265.0
19/05/2022,MT Sudoeste,263.0,265.0
19/05/2022,MT Cuiabá*,273.0,275.0
19/05/2022,MT Sudeste,264.0,266.0
19/05/2022,PR Noroeste,272.0,274.0
19/05/2022,SC,280.5,282.5
19/05/2022,MA Oeste,263.0,265.0
19/05/2022,Alagoas,283.5,285.5
19/05/2022,PA Marabá,264.0,266.0
19/05/2022,PA Redenção,265.0,267.0
19/05/2022,PA Paragominas,279.0,280.5
19/05/2022,RO Sudeste,247.0,249.0
19/05/2022,TO Sul,259.0,261.0
19/05/2022,TO Norte,263.0,265.0
19/05/2022,Acre,254.0,256.0
19/05/2022,ES,268.0,270.0
19/05/2022,RJ,271.0,273.0
20/05/2022,SP Barretos,269.0,271.0
20/05/2022,SP Araçatuba,269.0,271.0
20/05/2022,MG Triângulo,253.0,255.0
20/05/2022,MG B.Horizonte,258.0,260.0
20/05/2022,MG Norte,266.0,268.0
20/05/2022,MG Sul,264.0,266.0
20/05/2022,GO Goiânia,261.0,263.0
20/05/2022,GO Reg. Sul,261.0,263.0
20/05/2022,MS Dourados,267.0,269.0
20/05/2022,MS C. Grande,269.0,271.0
20/05/2022,MS Três Lagoas,264.0,266.0
20/05/2022,RS Oeste**,10.25,10.35
20/05/2022,RS Pelotas**,10.15,10.25
20/05/2022,BA Sul,274.0,276.0
20/05/2022,BA Oeste,266.0,268.0
20/05/2022,MT Norte,262.0,264.0
20/05/2022,MT Sudoeste,263.0,265.0
20/05/2022,MT Cuiabá*,273.0,275.0
20/05/2022,MT Sudeste,264.0,266.0
20/05/2022,PR Noroeste,272.0,274.0
20/05/2022,SC,280.5,282.5
20/05/2022,MA Oeste,263.0,265.0
20/05/2022,Alagoas,283.5,285.5
20/05/2022,PA Marabá,264.0,266.0
20/05/2022,PA Redenção,264.0,266.0
20/05/2022,PA Paragominas,279.0,280.5
20/05/2022,RO Sudeste,247.0,249.0
20/05/2022,TO Sul,259.0,261.0
20/05/2022,TO Norte,263.0,265.0
20/05/2022,Acre,254.0,256.0
20/05/2022,ES,268.0,270.0
20/05/2022,RJ,270.0,272.0
23/05/2022,SP Barretos,268.0,270.0
23/05/2022,SP Araçatuba,268.0,270.0
23/05/2022,MG Triângulo,252.0,254.0
23/05/2022,MG B.Horizonte,256.0,258.0
23/05/2022,MG Norte,264.0,266.0
23/05/2022,MG Sul,264.0,266.0
23/05/2022,GO Goiânia,261.0,263.0
23/05/2022,GO Reg. Sul,261.0,263.0
23/05/2022,MS Dourados,267.0,269.0
23/05/2022,MS C. Grande,269.0,271.0
23/05/2022,MS Três Lagoas,264.0,266.0
23/05/2022,RS Oeste**,10.25,10.35
23/05/2022,RS Pelotas**,10.15,10.25
23/05/2022,BA Sul,274.0,276.0
23/05/2022,BA Oeste,266.0,268.0
23/05/2022,MT Norte,262.0,264.0
23/05/2022,MT Sudoeste,262.0,264.0
23/05/2022,MT Cuiabá*,271.0,273.0
23/05/2022,MT Sudeste,264.0,266.0
23/05/2022,PR Noroeste,272.0,274.0
23/05/2022,SC,280.5,282.5
23/05/2022,MA Oeste,262.0,264.0
23/05/2022,Alagoas,283.5,285.5
23/05/2022,PA Marabá,264.0,266.0
23/05/2022,PA Redenção,264.0,266.0
23/05/2022,PA Paragominas,279.0,280.5
23/05/2022,RO Sudeste,247.0,249.0
23/05/2022,TO Sul,259.0,261.0
23/05/2022,TO Norte,263.0,265.0
23/05/2022,Acre,254.0,256.0
23/05/2022,ES,268.0,270.0
23/05/2022,RJ,270.0,272.0
24/05/2022,SP Barretos,266.0,268.0
24/05/2022,SP Araçatuba,266.0,268.0
24/05/2022,MG Triângulo,249.0,251.0
24/05/2022,MG B.Horizonte,254.0,256.0
24/05/2022,MG Norte,262.0,264.0
24/05/2022,MG Sul,264.0,266.0
24/05/2022,GO Goiânia,259.0,261.0
24/05/2022,GO Reg. Sul,259.0,261.0
24/05/2022,MS Dourados,266.0,268.0
24/05/2022,MS C. Grande,266.0,268.0
24/05/2022,MS Três Lagoas,264.0,266.0
24/05/2022,RS Oeste**,10.25,10.35
24/05/2022,RS Pelotas**,10.15,10.25
24/05/2022,BA Sul,274.0,276.0
24/05/2022,BA Oeste,266.0,268.0
24/05/2022,MT Norte,260.0,262.0
24/05/2022,MT Sudoeste,259.0,261.0
24/05/2022,MT Cuiabá*,268.0,270.0
24/05/2022,MT Sudeste,261.0,263.0
24/05/2022,PR Noroeste,271.0,273.0
24/05/2022,SC,279.0,280.5
24/05/2022,MA Oeste,258.0,260.0
24/05/2022,Alagoas,283.5,285.5
24/05/2022,PA Marabá,262.0,264.0
24/05/2022,PA Redenção,261.0,263.0
24/05/2022,PA Paragominas,279.0,280.5
24/05/2022,RO Sudeste,247.0,249.0
24/05/2022,TO Sul,258.0,260.0
24/05/2022,TO Norte,262.0,264.0
24/05/2022,Acre,254.0,256.0
24/05/2022,ES,266.0,268.0
24/05/2022,RJ,270.0,272.0
25/05/2022,SP Barretos,266.0,268.0
25/05/2022,SP Araçatuba,266.0,268.0
25/05/2022,MG Triângulo,247.0,249.0
25/05/2022,MG B.Horizonte,254.0,256.0
25/05/2022,MG Norte,260.0,262.0
25/05/2022,MG Sul,264.0,266.0
25/05/2022,GO Goiânia,257.0,259.0
25/05/2022,GO Reg. Sul,257.0,259.0
25/05/2022,MS Dourados,266.0,268.0
25/05/2022,MS C. Grande,264.0,266.0
25/05/2022,MS Três Lagoas,264.0,266.0
25/05/2022,RS Oeste**,10.25,10.35
25/05/2022,RS Pelotas**,10.15,10.25
25/05/2022,BA Sul,272.0,274.0
25/05/2022,BA Oeste,266.0,268.0
25/05/2022,MT Norte,260.0,262.0
25/05/2022,MT Sudoeste,259.0,261.0
