data,região,à vista,30 dias
20/05/2022,TO Norte,279.0,280.5
20/05/2022,Acre,269.0,271.0
20/05/2022,ES,277.0,279.0
20/05/2022,RJ,282.5,284.5
23/05/2022,SP Barretos,299.5,301.5
23/05/2022,SP Araçatuba,299.5,301.5
23/05/2022,MG Triângulo,279.0,280.5
23/05/2022,MG B.Horizonte,272.0,274.0
23/05/2022,MG Norte,272.0,274.0
23/05/2022,MG Sul,279.0,280.5
23/05/2022,GO Goiânia,276.0,278.0
23/05/2022,GO Reg. Sul,275.0,277.0
23/05/2022,MS Dourados,287.5,289.5
23/05/2022,MS C. Grande,283.5,285.5
23/05/2022,MS Três Lagoas,287.5,289.5
23/05/2022,RS Oeste**,11.0,11.1
23/05/2022,RS Pelotas**,11.0,11.1
23/05/2022,BA Sul,279.0,280.5
23/05/2022,BA Oeste,279.5,281.5
23/05/2022,MT Norte,278.0,279.5
23/05/2022,MT Sudoeste,277.0,279.0
23/05/2022,MT Cuiabá*,281.5,283.5
23/05/2022,MT Sudeste,278.0,279.5
23/05/2022,PR Noroeste,299.5,301.5
23/05/2022,SC,311.5,313.0
23/05/2022,MA Oeste,276.0,278.0
23/05/2022,Alagoas,295.5,297.5
23/05/2022,PA Marabá,274.0,276.0
23/05/2022,PA Redenção,274.0,276.0
23/05/2022,PA Paragominas,283.5,285.5
23/05/2022,RO Sudeste,260.0,262.0
23/05/2022,TO Sul,274.0,276.0
23/05/2022,TO Norte,278.0,279.5
23/05/2022,Acre,269.0,271.0
23/05/2022,ES,277.0,279.0
23/05/2022,RJ,282.5,284.5
24/05/2022,SP Barretos,297.5,299.5
24/05/2022,SP Araçatuba,297.5,299.5
24/05/2022,MG Triângulo,277.0,279.0
24/05/2022,MG B.Horizonte,271.0,273.0
24/05/2022,MG Norte,271.0,273.0
24/05/2022,MG Sul,276.0,278.0
24/05/2022,GO Goiânia,274.0,276.0
24/05/2022,GO Reg. Sul,275.0,277.0
24/05/2022,MS Dourados,285.5,287.5
24/05/2022,MS C. Grande,280.5,282.5
24/05/2022,MS Três Lagoas,283.5,285.5
24/05/2022,RS Oeste**,11.0,11.1
24/05/2022,RS Pelotas**,10.9,11.0
24/05/2022,BA Sul,277.0,279.0
24/05/2022,BA Oeste,279.0,280.5
24/05/2022,MT Norte,274.0,276.0
24/05/2022,MT Sudoeste,277.0,279.0
24/05/2022,MT Cuiabá*,279.0,280.5
24/05/2022,MT Sudeste,274.0,276.0
24/05/2022,PR Noroeste,295.5,297.5
24/05/2022,SC,308.5,310.5
24/05/2022,MA Oeste,273.0,275.0
24/05/2022,Alagoas,293.5,295.5
24/05/2022,PA Marabá,272.0,274.0
24/05/2022,PA Redenção,271.0,273.0
24/05/2022,PA Paragominas,283.5,285.5
24/05/2022,RO Sudeste,259.0,261.0
24/05/2022,TO Sul,271.0,273.0
24/05/2022,TO Norte,276.0,278.0
24/05/2022,Acre,269.0,271.0
24/05/2022,ES,277.0,279.0
24/05/2022,RJ,280.5,282.5
25/05/2022,SP Barretos,295.5,297.5
25/05/2022,SP Araçatuba,295.5,297.5
25/05/2022,MG Triângulo,275.0,277.0
25/05/2022,MG B.Horizonte,271.0,273.0
25/05/2022,MG Norte,269.0,271.0
25/05/2022,MG Sul,276.0,278.0
25/05/2022,GO Goiânia,272.0,274.0
25/05/2022,GO Reg. Sul,273.0,275.0
25/05/2022,MS Dourados,285.5,287.5
25/05/2022,MS C. Grande,280.5,282.5
25/05/2022,MS Três Lagoas,283.5,285.5
25/05/2022,RS Oeste**,11.0,11.1
25/05/2022,RS Pelotas**,10.9,11.0
25/05/2022,BA Sul,275.0,277.0
25/05/2022,BA Oeste,279.0,280.5
25/05/2022,MT Norte,272.0,274.0
25/05/2022,MT Sudoeste,277.0,279.0
25/05/2022,MT Cuiabá*,279.0,280.5
25/05/2022,MT Sudeste,274.0,276.0
25/05/2022,PR Noroeste,295.5,297.5
25/05/2022,SC,308.5,310.5
25/05/2022,MA Oeste,273.0,275.0
25/05/2022,Alagoas,293.5,295.5
25/05/2022,PA Marabá,270.0,272.0
25/05/2022,PA Redenção,271.0,273.0
25/05/2022,PA Paragominas,283.5,285.5
25/05/2022,RO Sudeste,259.0,261.0
25/05/2022,TO Sul,269.0,271.0
25/05/2022,TO Norte,274.0,276.0
25/05/2022,Acre,264.0,266.0
25/05/2022,ES,277.0,279.0
25/05/2022,RJ,280.5,282.5
26/05/2022,SP Barretos,295.5,297.5
26/05/2022,SP Araçatuba,295.5,297.5
26/05/2022,MG Triângulo,274.0,276.0
26/05/2022,MG B.Horizonte,271.0,273.0
26/05/2022,MG Norte,268.0,270.0
26/05/2022,MG Sul,276.0,278.0
26/05/2022,GO Goiânia,269.0,271.0
26/05/2022,GO Reg. Sul,270.0,272.0
